"day","location","date","month","year","hour","min","SEXOFFENSESNONFORCIBLE"
5,1,15,12,2006,5,42,0
7,6,1,7,2007,9,0,0
7,5,8,3,2015,10,0,0
2,1,22,2,2011,21,0,0
5,6,7,4,2006,18,30,0
1,2,17,2,2003,16,43,0
6,2,25,9,2010,16,55,0
3,10,26,1,2005,16,15,0
4,2,29,11,2007,12,0,0
2,2,9,2,2010,14,40,0
7,2,27,1,2008,23,15,0
1,8,12,5,2008,0,1,0
3,10,27,12,2006,11,22,0
1,3,13,9,2004,7,5,0
4,4,28,7,2011,23,25,0
4,4,14,6,2012,22,0,0
4,4,21,8,2014,14,30,0
5,9,25,7,2014,12,12,0
2,10,8,8,2006,17,20,0
1,3,23,6,2008,15,30,0
7,8,5,4,2009,15,45,0
3,10,5,10,2005,13,44,0
5,4,10,9,2010,2,30,0
7,8,28,7,2013,16,0,0
7,2,10,9,2006,12,11,0
6,4,3,7,2010,2,0,0
6,2,26,1,2013,18,30,0
1,3,19,4,2010,17,43,0
7,7,4,10,2009,20,0,0
4,9,21,8,2008,23,0,0
5,5,1,11,2013,12,0,0
1,9,20,1,2003,20,29,0
5,3,6,10,2006,7,20,0
5,5,23,3,2007,1,0,0
6,3,17,5,2014,3,20,0
2,7,5,3,2013,17,0,0
6,3,25,3,2006,23,30,0
6,10,10,9,2005,18,50,0
7,7,2,12,2012,21,29,0
5,6,12,6,2009,9,58,0
1,10,19,1,2015,21,55,0
1,1,17,2,2014,19,0,0
5,10,1,6,2007,0,1,0
5,8,24,1,2003,17,45,0
3,3,23,3,2005,16,30,0
7,3,4,12,2005,23,21,0
3,2,27,7,2011,14,0,0
1,8,13,5,2013,15,0,0
7,4,1,1,2006,3,0,0
7,5,6,4,2003,15,0,0
2,2,1,4,2008,0,1,0
5,6,20,10,2006,20,30,0
6,3,12,7,2014,21,30,0
6,2,1,12,2007,22,43,0
5,9,1,6,2007,15,0,0
1,1,13,4,2009,16,35,0
3,4,7,3,2012,14,22,0
3,8,2,5,2007,12,26,0
5,2,25,7,2003,19,30,0
1,7,14,4,2003,7,30,0
3,6,8,3,2006,8,0,0
7,6,27,3,2011,1,3,0
2,10,16,11,2010,17,40,0
2,4,19,8,2003,3,55,0
2,2,28,10,2008,20,15,0
7,2,23,3,2003,22,0,0
4,3,12,6,2014,20,0,0
7,2,8,10,2006,21,0,0
5,2,8,2,2013,23,0,0
